,Inv Item,Labels,Text
1343,ARC-192603,Misc,CATERPILLAR ROCKER ARM OEM REBUILT CATERPILLAR 10R3480
1344,ARC-237636,Starter,INGERSOLL RAND (AIR MOTORS) STARTER PNEUMATIC REBUILT INGERSOLL RAND (AIR MOTORS) SS350GE03R31
1345,ARC-182199,Compressor Valve - Suction,ARIEL CORP. VALVE COMPRESSOR CYLINDER SUCTION 117R1 ARIEL CORP. B0390F
1346,ARC-233487,Block,GEMINI BLOCK DISTRIBUTION 35T/35S/35S GEMINI 4054936
1347,ARC-186205,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD ARIEL CORP. KB0334E
1348,ARC-183197,Misc,ARIEL CORP. KIT REPAIR 2 PISTON ROD PACKING ARIEL CORP. B1584K
1349,ARC-270902,Packing Kit,ARIEL CORP. PACKING CASE ARIEL CORP. B8643
1350,ARC-269492,Packing Kit,ARIEL CORP. KIT REBUILD PISTON ROD PACKING  1.125 ROD  STD  PU  BTS  VAC-600 PSIG ARIEL CORP. B8645K
1351,ARC-254377,Plug,NONE PLUG HEADER BRASS
1352,ARC-254313,Misc,NONE STRAINER BASKET 6 RF 300 CLASS S160 304 SS BODY #40 MESH 304 SS MESH 200% OPEN AREA MESH OUTSIDE
1353,ARC-181397,Bearing - Compressor - Main,ARIEL CORP. BEARING SLEEVE COMPRESSOR MODEL JGA ARIEL CORP. B0002
1354,ARC-168937,Engine Control Module,MURPHY CONTROL ENGINE ELECTRONIC MONITORING G3306BNA EICS MURPHY 48700038
1355,ARC-233769,Misc,GEMINI END PISTON 8 COMPRESSOR GEMINI 4065076
1356,ARC-171974,Compressor Valve - Suction,AFTERMARKET VALVE COMPRESSOR CYLINDER SUCTION 52RX MODEL NO: DA AFTERMARKET 425165
1357,ARC-234107,Piston - Compressor - Misc,GEMINI NUT PISTON ROD
1358,ARC-186225,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD ARIEL CORP. KB0391F
1359,ARC-187203,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD NYLON PLATES 60CRE ARIEL CORP. KB4578UX
1360,ARC-168385,Misc,ARIEL CORP. LUBRICATOR FORCE FEED 3/8 X 3/8 X 5/8 SHAFT JGC:D:F/4:6 JGZ:U/2:4:6 KBZ:U/2:4:6 CARBON STEEL HOUSING STAINLESS STEEL FITTINGS ARIEL CORP. G23592K
1361,ARC-269173,Silencer,MAXIM SILENCER EXHAUST MUFFLER 1 RND 125/150 RF CRITICAL GR VERTICAL
1362,ARC-185992,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD MT PLATES 79RX ARIEL CORP. KB0056AA
1363,ARC-178452,Piston - Compressor - Ring ,ARIEL CORP. RING PISTON 2-3/4 DIA JG:A ARIEL CORP. A0277
1364,ARC-238692,Valve - Misc,JATCO VALVE MICRO 3-WAY W/MOUNTING PLATE JATCO JM5001X
1365,ARC-189183,Filter - Oil,BALDWIN FILTER ELEMENT OIL 4.25 OD 10.438 LG 1.125 BALDWIN B76
1366,ARC-244116,Tachometer,MURPHY TACHOMETER DIGITAL HOUR METER MURPHY SHD3045
1367,ARC-176139,Engine Control Module,ALTRONIC HARNESS WIRE 72 LG UNSHIELDED ALTRONIC 3930231
1368,ARC-217227,Misc,CATERPILLAR BRACKET CATERPILLAR 3482759
1369,ARC-243946,Switch Gauge,MURPHY SWITCHGAUGE PRESSURE 1/4 NPS BRASS CONNECTION BOTTOM CONNECTION CAST ALUM CASE 0/1000 PSI 0/689 KPA ASME B40.1 GR.A PHOSPHOR BRZ/BRASS WETTED BOURDON TUBE 4-1/2 DIAL WHITE ON BLACK DIAL WHITE POINTER POLYCA MURPHY 05701010
1370,ARC-222778,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE 0.055 LIFT MTX PLATES 52RX THICK ARIEL CORP. B2929DD
1371,ARC-186199,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD ARIEL CORP. KB0333E
1372,ARC-269595,Valve - Solenoid,ASCO VALVE  INC VALVE SOLENOID SHUTOFF 1 NPT 2-WAY NORMALLY CLOSED 24VDC ASCO VALVE  INC 8215G05024VDC
1373,ARC-190266,Filter - Misc,COOPER B-LINE FILTER ELEMENT 16 WD 16 LG 3 THK COOPER B-LINE BL650
1374,ARC-268852,Misc,MURPHY CARBURETOR NATURAL GAS
1375,ARC-237617,Valve - Misc,INGERSOLL RAND VALVE CONTROL 1/8 NPT 225 PSI INGERSOLL RAND SMBG618
1376,ARC-193910,Actuator,CATERPILLAR ACTUATOR ELECTRICAL GAS REGULATOR AIR FUEL MODULE CATERPILLAR 1873516
1377,ARC-186108,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD 98RX STANDARD ARIEL CORP. KB0261F
1378,ARC-223218,Compressor Valve - Suction,ARIEL CORP. VALVE COMPRESSOR CYLINDER SUCTION NYX PLATES 137CT ARIEL CORP. B2893V
1379,ARC-173828,Pump - Misc,COOPER-AJAX PUMP CENTRIFUGAL COOPER-AJAX BM11531A
1380,ARC-269801,Misc,ALTRONIC MODULE POWER 10-32VDC ALTRONIC 6917451
1381,ARC-205954,Starter,AC DELCO STARTER ELECTRIC 12VDC 28MT 12 TOOTH REBUILT AC DELCO 28MT12V12T
1382,ARC-193436,Wastegate,CATERPILLAR WASTEGATE BYPASS G3516 CATERPILLAR 1460758
1383,ARC-198982,Filter - Air,CATERPILLAR FILTER ELEMENT AIR CLEANER CATERPILLAR 6I2501
1384,ARC-239436,No Flow,KENCO SWITCH NO-FLOW 2A 30VAC/VDC 2000 PSI NON-EXPLOSION PROOF  1/4 TUBING CONNECTIONS IN AND OUT  S.D. TIME ADJUSTABLE  MUST BE MOUNTED VERTICAL WITHOUT MOUNTING BRACKET KENCO NFS3
1385,ARC-269519,Misc,ARIEL CORP. CASE PACKING 1-1/2 ROD DIA 1440 PSI
1386,ARC-196572,Adapter - Misc,CATERPILLAR ADAPTER EXHAUST
1387,ARC-196528,Misc,CATERPILLAR SUPPORT G3304 CATERPILLAR 3N1877
1388,ARC-183767,Packing Kit,ARIEL CORP. KIT PACKING PISTON ROD
1389,ARC-201912,O-Ring,CATERPILLAR O-RING 0.91 ID 0.21 CROSS SECTION SILICONE RBR CATERPILLAR 9M4849
1390,ARC-251751,Valve - Relief,TAYLOR VALVE RELIEF CONVENTIONAL SPRING DESIGN 600 PSI SET 451 TO 650 PSI 1 MNPT X 1 FNPT CS BODY 17-4 SS DISC FKM SEAL -15 DEG F TO 400 DEG F CLOSED CAP SS SPRING ASME SECTION VIII - DIV 1
1391,ARC-203021,Seal - Compressor,CHAMPION AIR COMPRESSOR SEAL
1392,ARC-199854,Aftercooler,CATERPILLAR AFTERCOOLER CORE CATERPILLAR 7C3385
1393,ARC-243970,Switch Gauge,MURPHY SWITCHGAUGE PRESSURE 1/4 NPS BRASS CONNECTION BOTTOM CONNECTION CAST ALUM CASE 0/400 PSI 0/2.76 MPA ASME B40.1 GR.A PHOSPHOR BRZ/BRASS WETTED BOURDON TUBE 4-1/2 DIAL WHITE ON BLACK DIAL WHITE POINTER DRY PO MURPHY 05701086
1394,ARC-238428,Gasket - Engine - Head,IPD KIT GASKET HEAD G3406 IPD 7X7657
1395,ARC-186942,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD MT PLATES 52RX ARIEL CORP. KB2930BB
1396,ARC-197810,Thermostat,CATERPILLAR THERMOSTAT ENGINE CATERPILLAR 4W4011
1397,ARC-178352,Misc,ARIEL CORP. COLLAR PISTON JG:M:P 2-1/2 CYL ARIEL CORP. A0057
1398,ARC-169839,Telematics,ENBASE ENCLOSURE ELECTRICAL 12 WD 6 HT 14 DP ALUM BACK PANEL NEMA 4X POLYCARBONATE
1399,ARC-245519,Filter - Coalescer,PARKER HANNIFIN FILTER ELEMENT COALESCER 7 OD PARKER HANNIFIN 10C10070
1400,ARC-176148,Ignition - Mag,ALTRONIC MAGNETO ALTRONIC V 3-OUTPUT COUPLING WITH 45 DEGREE ANGLE ALTRONIC 3A64AW
1401,ARC-186015,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD SUCTION 98R1 ARIEL CORP. KB0073E
1402,ARC-203065,Sparkplug,CHAMPION SPARK PLUG SPARKPLUG STD GAP STOCK NO. 519 CHAMPION SPARK PLUG RM77N
1403,ARC-224666,Battery 12V - Wet,DEKA (EAST PENN MANUFACTURING) BATTERY WET CELL AUTOMOTIVE BCI 8D 12VDC 1100CCA LEAD ACID TOP POST
1404,ARC-183916,Packing Kit,ARIEL CORP. KIT PACKING PISTON ROD ARIEL CORP. B2650K
1405,ARC-231006,Actuator,GARZO ACTUATOR SPRING AND DIAPHRAGM 4 TRAVEL 100 PSI GARZO 5016630
1406,ARC-194487,Turbocharger,CATERPILLAR HOUSING TURBOCHARGER G399 EXHAUST SIDE
1407,ARC-224854,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE MTX PLATES 79CRE ARIEL CORP. B5832EE
1408,ARC-178429,Piston - Compressor - Ring ,ARIEL CORP. RING PISTON 3-5/8 DIA JG:A:JGA ARIEL CORP. A0218
1409,ARC-201341,Exhaust - Manifold,CATERPILLAR MANIFOLD EXHAUST LEFT BANK FOR G3408TA CATERPILLAR 8N0538
1410,ARC-191755,Paint,CARBOLINE PAINT THINNER SOLVENT 1 GAL CAN CARBOLINE 2THINNER
1411,ARC-243885,Valve - Fuel Shut Off,MURPHY VALVE FUEL SHUT-OFF 2 FNPT X 1/2 FNPT 100 PSI SAND CAST ALUM BUNA-N SEAT W/BLOCK AND VENT ENERGIZE TO CLOSE MANUAL OPEN TWO SPDT SWITCHES BATTERY POWERED COIL CSA APPROVED MURPHY M5081B
1412,ARC-252212,Coupling,T.B. WOODS KIT REPAIR COUPLING SHIMPACK BOLT NUT WASHER T.B. WOODS D45DF
1413,ARC-218916,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD SUCTION NYX PLATES 79CRE ARIEL CORP. KB5652S
1414,ARC-233601,Piston - Compressor - Ring,GEMINI PISTON COMPRESSOR RING CARRIER GEMINI 4060386
1415,ARC-195131,Valve - Solenoid,CATERPILLAR VALVE SOLENOID CSA CATERPILLAR 2519396
1416,ARC-186222,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD ARIEL CORP. KB0390F
1417,ARC-186069,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD DISCHARGE ARIEL CORP. KB0253G
1418,ARC-192074,Pump - Water,CATERPILLAR PUMP WATER G3408 OEM REBUILT CATERPILLAR 0R4679
1419,ARC-189042,Bearing - Cooler - Pillow Block,DODGE BEARING PILLOW BLOCK 2.4375 DIA SHAFT FOR COOLER SHAFT DODGE BR1111
1420,ARC-249022,Filter - Oil,SCHROEDER FILTER ELEMENT OIL 41.3MM ID 99.2MM OD 231.8MM LG SCHROEDER KZ25
1421,ARC-172158,Gasket - Misc,AFTERMARKET GASKET CORK 3304 FOR VALVE AFTERMARKET 8S1606
1422,ARC-225669,Piston - Engine,AJAX PUMP PISTON ENGINE 13-1/4 DIA
1423,ARC-197463,Belt,CATERPILLAR BELT V 1 BAND CATERPILLAR 4N8216
1424,ARC-193708,Engine Control Module,CATERPILLAR HARNESS WIRE CATERPILLAR 1636110
1425,ARC-234787,Misc,GRAINGER CONTAINER PRO-TUFF 37 WD X 21 DP X 20 HT PRO-TUFF W/KEY LOCK GRAINGER 1RG71
1426,ARC-223378,Misc,CORTEC CORP. GREASE LITHIUM/HIGH TEMPERATURE 14 OZ CARTRIDGE CORRLUBE VPCI NLGI 2 360 DEG F EXTREME PRESSURE CARTON OF 12 CORTEC CORP. 12000220
1427,ARC-186924,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD MT PLATES 137CT ARIEL CORP. KB2894AA
1428,ARC-176665,Ignition - Mag,ALTRONIC MAGNETO ALTRONIC III ROUND FLANGE MOUNT 3 SLOT REBUILT ALTRONIC 8A23HTJ
1429,ARC-242234,Valve - Relief,MERCER VALVE VALVE RELIEF CONVENTIONAL SPRING DESIGN 1440 PSI SET 1 MNPT X 1 FNPT SS BODY 15% GLASS FILLED TEFLON SEAT VITON/BUNA-N SEAL -20 TO 400 DEG F CLOSED CAP ASME SECTION VIII - DIV 1 MERCER VALVE 9117D51T63E1
1430,ARC-244114,Switch Gauge,MURPHY SWITCHGAUGE TEMPERATURE 1/2 NPT 100-500 DEG F/40-260 DEG C ALUM-DIE CAST CASE DOUBLE TEMP SCALE  MURPHY SDB501
1431,ARC-176500,Transmitter - Pressure,ALTRONIC TRANSMITTER PRESSURE PRESSURE 0-1000 PSI 0-5VDC ALTRONIC 6912011000
1432,ARC-193713,Alternator,CATERPILLAR ALTERNATOR GROUP CATERPILLAR 1636119
1433,ARC-237092,Battery 12V - Wet,INTERSTATE BATTERIES BATTERY WET CELL AUTOMOTIVE 12VDC 870A 75 AH LEAD ACID POST
1434,ARC-198952,Misc,CATERPILLAR ROCKER ARM CATERPILLAR 6I1647
1435,ARC-197635,Misc,CATERPILLAR CAMSHAFT G3408
1436,ARC-233841,Pocket,GEMINI POCKET CLEARANCE VARIABLE VOLUME 3 DIA GEMINI 4068081
1437,ARC-189491,Filter - Misc,BALDWIN FILTER ELEMENT INNER 6.969 ID 8.625 OD 12 LG BALDWIN PA2647
1438,ARC-193178,Hose,CATERPILLAR HOSE CATERPILLAR 1316645
1439,ARC-234239,Compressor Valve - Suction,GEMINI VALVE COMPRESSOR CYLINDER SUCTION MT PLATES 70RX REBUILT GEMINI 4271725
1440,ARC-190252,Filter - Air,COOPER B-LINE FILTER ELEMENT AIR ALTERNATIVE PART NO: CM995A COOPER B-LINE BL1218P
1441,ARC-252581,Starter,TDI STARTER PNEUMATIC 30-90 PSI T112-F TDI T11260002F4LR
1442,ARC-243444,Switch Gauge,MURPHY SWITCHGAUGE TEMPERATURE 2 DIAL 1/2 MNPT 130-250 DEG F/60-121 DEG C SPST PLTD STL CASE WHITE ON BLACK POLYCARBONATE LENS 10' CAPILLARY CU BULB MURPHY 10702045
1443,ARC-171915,Pump - Oil,AFTERMARKET PUMP OIL AFTERMARKET 4072851
1444,ARC-228842,Regulator - Pressure,FISHER REGULATOR PRESSURE 1 NPT 15-40 PSI
1445,ARC-196676,Misc,CATERPILLAR SHEAVE CATERPILLAR 3N6127
1446,ARC-251592,Fitting,SWAGELOK TUBE CONNECTOR STRAIGHT 1/2 COMP X 1/2 MNPT 316 SS SWAGELOK SS81018
1447,ARC-186221,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD ARIEL CORP. KB0390E
1448,ARC-184142,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE VALVE REBUILT ARIEL CORP. B3074CCR
1449,ARC-184947,Piston - Compressor,ARIEL CORP. PISTON COMPRESSOR 7-3/8 DIA JGRJ ARIEL CORP. C1271
1450,ARC-268619,Compressor Valve - Suction,ARIEL CORP. VALVE COMPRESSOR CYLINDER SUCTION MTX PLATES 79CRE ARIEL COMPRESSOR REBUILT ARIEL CORP. B6058BB
1451,ARC-260436,Head,WAUKESHA HEAD CYLINDER ENGINE F1197 REBUILT WAUKESHA AD123402C
1452,ARC-218730,Valve - Relief,MERCER VALVE VALVE RELIEF CONVENTIONAL SPRING  1930 PSI SET 275 DEG F 0.212 SQ IN 1 MNPT X 1 FNPT SS BODY VIRGIN PEEK SEAT 17-4 SS DISC CS BONNET 17-4 SS NOZZLE VITON/BUNA-N SEAL CLOSED CAP 17-7 PH SS SPRING MERCER VALVE 8117161P19G21
1453,ARC-187205,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD MT PLATES 60CRE ARIEL CORP. KB4579AX
1454,ARC-184067,Compressor Valve - Suction,ARIEL CORP. VALVE COMPRESSOR CYLINDER SUCTION MT PLATES 52RX THICK PLATE ARIEL CORP. B2930AA
1455,ARC-226313,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD DISCHARGE MTX PLATES 79CRE FITS ARIEL COMPRESSOR ARIEL CORP. KB5832BB
1456,ARC-264829,Misc,WIKA GAUGE PRESSURE 2-1/2 DIAL 0-300 PSI 1/4 MNPT CU ALLOY CONNECTION BOTTOM CONNECTION 304 SS CASE CU ALLOY WETTED STEM MOUNT GLYCERINE FILL POLYCARBONATE LENS BLACK ON WHITE DIAL BLACK POINTER FACE MODEL NO: 213.53 WIKA 9767096
1457,ARC-197745,Seal - Engine,CATERPILLAR SEAL REAR CRANKSHAFT G3304/G3306 CATERPILLAR 4W0452
1458,ARC-182078,Connecting Rod - Compressor - Bearing,ARIEL CORP. BUSHING CONNECTING ROD JGR JGW JGJ ACF BRZ ARIEL CORP. B0300
1459,ARC-187401,Misc,ARROW ENGINE SCREW ADJUSTING
1460,ARC-211794,Fuel Injector,ENDYN KIT FUEL INJECTION ENDYN SPEC7456C
1461,ARC-170059,Compressor Valve - Discharge,SAMCO VALVE COMPRESSOR CYLINDER DISCHARGE 3.5 ARIEL COMPRESSOR REBUILT
1462,ARC-248049,Valve - Solenoid,PETER PAUL VALVE SOLENOID 1/4 1/8 ORIFICE NPT 2-WAY NORMALLY CLOSED 170 DEG F 24VDC 16W MOLDED PRESSURE RATING= 300 PSI TEMP RATING= SEAL MATERIAL: VITON BURST PRESSURE: 4000PSI CV: 0.35 CONDUIT CONNECTION SIZE: 1/2 IN PETER PAUL 72Z0270NSCM
1463,ARC-237099,Filter - Air,INDUSTRIAL FILTER CO. FILTER ELEMENT AIR ABSOLUTE RATING: 45 INDUSTRIAL FILTER CO. P235
1464,ARC-192483,Misc,CATERPILLAR HOUSING FILTER AIR AIR FOR ENGINE MODEL 3304 CATERPILLAR 1076333
1465,ARC-268310,Misc,CATERPILLAR KIT REPAIR GAS PRESSURE REGULATOR G3500 CATERPILLAR 5102613
1466,ARC-226448,Compressor Valve - Suction,ARIEL CORP. VALVE COMPRESSOR CYLINDER SUCTION CS BODY MTX PLATES 52RX ARIEL COMPRESSOR
1468,ARC-184097,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE MT PLATES ARIEL CORP. B2994DD
1469,ARC-233773,Piston - Compressor,GEMINI PISTON COMPRESSOR 5-1/2 DIA HPD GEMINI 4065132
1470,ARC-174601,Head,COOPER-AJAX HEAD CYLINDER ENGINE POWER END COOPER-AJAX K6002D
1471,ARC-176834,Engine Control Module,ALTRONIC CONTROL ENGINE AIR FUEL RATIO ALTRONIC EPC1101
1472,ARC-266972,Starter,AC DELCO STARTER ELECTRIC 24VDC 12 TOOTH REBUILT AC DELCO 50MT24V12TR
1473,ARC-182731,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE PEEK PLATES REBUILT ARIEL CORP. B1203L
1474,ARC-233923,Piston - Compressor - Ring,GEMINI RING PISTON 1-1/2 DIA COMPRESSOR GEMINI 4082919
1475,ARC-185117,Piston - Compressor,ARIEL CORP. PISTON COMPRESSOR 8-7/8 DIA JGC ARIEL CORP. C3197
1476,ARC-176233,Misc,ALTRONIC COUPLING FLEXIBLE
1477,ARC-224311,Misc,REICH- KUPPLUNGEN ELEMENT COUPLING RBR REICH- KUPPLUNGEN M0101003
1478,ARC-173609,Head,COOPER-AJAX HEAD CYLINDER ENGINE 15 DIA POWER END REBUILT COOPER-AJAX A4502E
1479,ARC-196188,Regulator - Pressure,CATERPILLAR REGULATOR PRESSURE REDUCING 2 FNPT 1 DIA 40 PSI 5.21 W.C. FUEL GAS DIRECT OPERATION
1480,ARC-233928,Compressor Valve - TBD,GEMINI VALVE COMPRESSOR CYLINDER CONCENTRIC GEMINI 4084741
1481,ARC-226954,Misc,ARIEL CORP. LUBRICATOR FORCE FEED 1/2 SHAFT 2 PUMP 1/4 3/16 ARIEL CORP. G23614K
1482,ARC-186245,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD SUCTION 52RX ARIEL CORP. KB0812E
1483,ARC-246357,Relay,PHOENIX CONTACT RELAY ELECTROMECHANICAL 24VDC 6A DPDT DIN MOUNT: DINRAIL ACTION: FOR PHOENIX CONTACT 5603154
1484,ARC-170894,Misc,AEROQUIP COUPLING PIPE STRAIGHT FLEXMASTER 4 NPS 6-1/2 LG SILICONE GASKET AEROQUIP NH1600S400B0650
1485,ARC-218917,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD DISCHARGE MTX PLATES 79CRE ARIEL CORP. KB5832DD
1486,ARC-234123,Compressor Valve - Suction,GEMINI VALVE COMPRESSOR CYLINDER SUCTION REBUILT GEMINI 425165
1487,ARC-176689,Ignition - Mag,ALTRONIC MAGNETO ALTRONIC III HORIZONTAL FLANGE MOUNT 2 SLOT
1488,ARC-206682,Bearing - Cooler - Pillow Block,DODGE BEARING PILLOW BLOCK TAPERED DOUBLE INTERLOCK 2.1875 DIA SHAFT SETSCREW 2 BOLT MOUNT EXPANSION GRAY IRON HOUSING
1489,ARC-217380,Belt,GATES BELT V HEAVY DUTY 1 BAND 72 LG 0.875 TOP WD 0.531 THK C DIENE POLYESTER CORD GATES C68
1490,ARC-178311,Misc,ARIEL CORP. SPROCKET ROLLER CHAIN 30 TOOTH LUBE OIL PUMP ARIEL CORP. A0002
1491,ARC-234254,Compressor Valve - Discharge,GEMINI VALVE COMPRESSOR CYLINDER DISCHARGE MT PLATES 105CROO REBUILT GEMINI 4271871
1492,ARC-241918,Valve - Relief,MERCER VALVE VALVE RELIEF CONVENTIONAL SPRING DESIGN 200 PSI SET 0.212 SQ IN 1 MNPT X 1 FNPT SS BODY 15% GLASS FILLED TEFLON SEAT SS DISC SS NOZZLE VITON/BUNA-N SEAL -20 TO 400 DEG F CLOSED CAP ASME SECTION VIII - DIV 1 MERCER VALVE 8117151T09G11
1493,ARC-186468,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD SUCTION NYLON PLATES 137CHT ARIEL CORP. KB1471S
1494,ARC-194788,Starter,CATERPILLAR STARTER ELECTRIC 24VDC 12 TOOTH BENDIX CW ROTATION F/3300 SERIES ENGINE CATERPILLAR 2071560
1495,ARC-192028,Oil Cooler,CATERPILLAR COOLER OIL G342 OEM REBUILT CATERPILLAR 0R3511
1496,ARC-252164,Coupling,T.B. WOODS HUB COUPLING FOR ARIEL COMPRESSOR MODELS: JGA/JGM/JP T.B. WOODS D313071
1497,ARC-243644,Misc,MURPHY SNUBBER PRESSURE 1/4 NPT MODEL PM6203-1/4 MURPHY 55000201
1498,ARC-252652,Starter,TDI STARTER PNEUMATIC REBUILT TDI T3126001701R
1499,ARC-241962,Valve - Relief,MERCER VALVE VALVE RELIEF CONVENTIONAL SPRING DESIGN 635 PSI SET 0.212 SQ IN 1 MNPT X 1 FNPT SS BODY 15% GLASS FILLED TEFLON SEAT VITON/BUNA-N SEAL -20 TO 400 DEG F CLOSED CAP ASME SECTION VIII - DIV 1 MERCER VALVE 8117151T58G11
1500,ARC-210731,Bearing - Compressor - Main,ENDYN BEARING ROLLER DPC60 OR 81 MAIN ENDYN BM10709
1501,ARC-269221,Misc,ENBASE BREAKER CIRCUIT
1502,ARC-193716,Engine Control Module,CATERPILLAR HARNESS WIRE MAGNETO DRIVE CATERPILLAR 1636165
1503,ARC-178426,Piston - Compressor - Ring ,ARIEL CORP. RING PISTON 6-1/8 DIA JG:A:M:SP:J ARIEL CORP. A0215
1504,ARC-216332,Misc,ARIEL CORP. TRAP OIL 1/4 TUBE INLET X 1/8 NPT OUTLET SS INCLUDES BODY STEM AND CHECK VALVE ASSEMBLY ARIEL CORP. A17775A
1505,ARC-269264,Packing Kit,ARIEL CORP. PACKING PREFORMED RING/ROD 1-1/8 DIA ARIEL CORP. B8644K
1506,ARC-248650,Filter - Air,ROYAL FILTER ELEMENT AIR 10 ID 12.938 OD 17.5 LG COOPER-AJAX 2802LE COOPER-AJAX MODEL NO: 2802LE ROYAL RA811163
1507,ARC-168903,Compressor Valve - Parts,ARIEL CORP. RETAINER VALVE DISCHARGE 7-1/2 CYL
1508,ARC-218329,Regulator - Pressure,FISHER REGULATOR PRESSURE 1/8 DIA 250 PSI 0/35 PSI GAS ALUM BODY DIRECT OPERATION
1509,ARC-244576,Filter - Misc,NELSON WINSLOW FILTER ELEMENT SOCK NELSON WINSLOW CP1645TO
1510,ARC-181582,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE 98R1 ARIEL CORP. B0074E
1511,ARC-214008,Actuator,GARZO ACTUATOR PNEUMATIC PRESSURE OPERATED/SPRING RETURN 3-15 PSI 3-15 PSI LOUVER CONTROL GARZO 50118315
1512,ARC-205370,Filter - Air,FLEETGUARD FILTER ELEMENT AIR FLEETGUARD AF4553M
1513,ARC-211844,Piston - Compressor - Ring,ENDYN KIT PISTON RING ENDYN YAE5105950A
1514,ARC-192004,Misc,CATERPILLAR KIT CAMSHAFT OEM REBUILT CATERPILLAR 0R3023
1515,ARC-178362,Misc,ARIEL CORP. SPROCKET ROLLER CHAIN 30 TOOTH LUBRICATOR FULL FACE ARIEL CORP. A0072
1516,ARC-243805,Valve - Control,MURPHY VALVE CONTROL REVERSE ACTING ACTUATOR FAIL CLOSE 316 SS BODY 1 MNPT X 1/2 FNPT MAWP= 1800 PSI -30 TO 250 DEG F OPERTATING MANUAL VALVE OPERTATOR 30-70 PSIG RANGE    DVU150SS  MURPHY 55700300
1517,ARC-173985,Misc,COOPER-AJAX BOX LUBRICATOR RH DRIVE 12 FEED RH 12 FEED RH REBUILT COOPER-AJAX BM1504612
1518,ARC-223450,Misc,AMERICAN MILLENNIUM ALARM SYSTEM 12VDC SELF CONTAINED VIBRATION MONITORING UNIT.0.75 AMP AMERICAN MILLENNIUM SENTRY 68
1519,ARC-246432,Plug,PLUGS PLUG BRASS
1520,ARC-199369,Misc,CATERPILLAR SHEAVE CATERPILLAR 6N7378
1521,ARC-176807,Misc,ALTRONIC GAUGE PRESSURE 4-1/2 DIAL DIGITAL SET POINT ALTRONIC DSG1611DUPS
1522,ARC-188431,Cylinder Liner,ARROW ENGINE KIT LINER ARROW ENGINE G932262
1523,ARC-241172,Bearing - Cooler - Pillow Block,LINK BELT BEARING PILLOW BLOCK BALL 2.8125 DIA SHAFT SETSCREW 2 BOLT MOUNT NON-EXPANSION HEAVY DUTY CI HOUSING LINK BELT PU331
1524,ARC-181849,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE 70RX ARIEL CORP. B0257E
1525,ARC-246220,Controller - Liquid Level,PENBERTHY GAUGE LIQUID LEVEL REFLEX 15 VISUAL LG 1950 PSI 200 DEG F 1/2 PROCESS FNPT END CONNECTION 16-1/2 SPAN OVERALL LENGTH A105 CARBON STEEL LIQUID CHAMBER END CONNECTIONS FOR GAGE VALVES PENBERTHY 2RL4
1526,ARC-186249,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD 52RX ARIEL CORP. KB0813E
1527,ARC-186020,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD 98R1 STEEL ARIEL CORP. KB0074F
